22:22:18.926 |I| Launcher                       | :1                             | Checking if build hasn't expired.
  at JetBrains.Collections.Viewable.ViewableProperty`1[T].set_Value (T value) [0x0004a] in <6164fcd4dbdf43c6bfb52a09be0c742c>:0 
  at JetBrains.Rd.Impl.SocketWire+Server+<>c__DisplayClass4_0.<StartServerSocket>b__1 () [0x000f6] in <430db715e7c649b38f82ebaf8e15cd26>:0 
00:43:10.159 |E| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:80 | System.Threading.ThreadAbortException: Thread was being aborted.
  at JetBrains.Rd.Impl.SocketWire+Server+<>c__DisplayClass4_0.<StartServerSocket>b__1 () [0x0019b] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Diagnostics.LogEx.Catch (JetBrains.Diagnostics.ILog log, System.Action action) [0x00000] in <6164fcd4dbdf43c6bfb52a09be0c742c>:0 
00:43:11.394 |I| Launcher                       | :1                             | Checking if build hasn't expired.
00:43:11.404 |I| Launcher                       | :1                             | Starting RiderFlow frontend
00:43:11.411 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
00:43:11.412 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
00:43:11.413 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
00:43:11.413 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 34983
00:43:11.414 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:86 | ServerSocket-UnityServer : accepting, port: 34983
00:43:12.047 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:86 | ServerSocket-UnityServer : accepted
00:43:12.047 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:86 | ServerSocket-UnityServer : connected
00:43:12.051 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:86 | RESUME :: state=AsyncProcessing
00:43:13.124 |I| Launcher                       | :1                             | Creating Root ScriptableObject
00:43:13.126 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
00:43:13.126 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
00:43:13.126 |I| Launcher                       | :1                             | Subscribing for events
00:43:13.128 |I| Launcher                       | :1                             | Start running backend
00:43:13.206 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
00:43:13.206 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
00:43:14.181 |V| Launcher                       | :1                             | Ready!
14:11:33.070 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:11:33.087 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:11:33.088 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:11:33.088 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:11:33.088 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:11:33.089 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:86 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:11:33.089 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:86 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1650
14:11:33.091 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:86 | ServerSocket-UnityServer: terminated.
14:11:33.091 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:11:34.531 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:11:34.541 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:11:34.547 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:11:34.548 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:11:34.549 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:11:34.549 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 40401
14:11:34.550 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:100 | ServerSocket-UnityServer : accepting, port: 40401
14:11:35.919 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:100 | ServerSocket-UnityServer : accepted
14:11:35.920 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:100 | ServerSocket-UnityServer : connected
14:11:35.923 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:100 | RESUME :: state=AsyncProcessing
14:11:36.397 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:11:36.398 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:11:36.399 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:11:36.399 |I| Launcher                       | :1                             | Subscribing for events
14:11:36.401 |I| Launcher                       | :1                             | Start running backend
14:11:36.482 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:11:36.482 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:11:37.406 |V| Launcher                       | :1                             | Ready!
14:14:17.230 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:14:17.242 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:14:17.243 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:14:17.243 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:14:17.243 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:14:17.244 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:100 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:14:17.244 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:100 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1296
14:14:17.245 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:100 | ServerSocket-UnityServer: terminated.
14:14:17.245 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:14:18.775 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:14:18.786 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:14:18.793 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:14:18.794 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:14:18.794 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:14:18.795 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 44169
14:14:18.796 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:112 | ServerSocket-UnityServer : accepting, port: 44169
14:14:20.430 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:14:20.431 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:14:20.432 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:14:20.432 |I| Launcher                       | :1                             | Subscribing for events
14:14:20.433 |I| Launcher                       | :1                             | Start running backend
14:14:20.562 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:14:20.562 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:14:20.867 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:112 | ServerSocket-UnityServer : accepted
14:14:20.867 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:112 | ServerSocket-UnityServer : connected
14:14:20.885 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:112 | RESUME :: state=AsyncProcessing
14:14:21.229 |V| Launcher                       | :1                             | Ready!
14:24:02.669 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:24:02.682 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:24:02.683 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:24:02.683 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:24:02.683 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:24:02.684 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:112 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:24:02.685 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:112 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1296
14:24:02.685 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:112 | ServerSocket-UnityServer: terminated.
14:24:02.686 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:24:04.217 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:24:04.227 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:24:04.235 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:24:04.236 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:24:04.236 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:24:04.237 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 38071
14:24:04.238 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:124 | ServerSocket-UnityServer : accepting, port: 38071
14:24:05.365 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:124 | ServerSocket-UnityServer : accepted
14:24:05.366 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:124 | ServerSocket-UnityServer : connected
14:24:05.370 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:124 | RESUME :: state=AsyncProcessing
14:24:05.877 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:24:05.879 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:24:05.879 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:24:05.879 |I| Launcher                       | :1                             | Subscribing for events
14:24:05.880 |I| Launcher                       | :1                             | Start running backend
14:24:06.029 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:24:06.029 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:24:06.878 |V| Launcher                       | :1                             | Ready!
14:24:11.290 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:24:11.303 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:24:11.304 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:24:11.304 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:24:11.304 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:24:11.305 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:124 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:24:11.306 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:124 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1082
14:24:11.306 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:124 | ServerSocket-UnityServer: terminated.
14:24:11.306 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:24:12.601 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:24:12.611 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:24:12.618 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:24:12.620 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:24:12.620 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:24:12.621 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 40577
14:24:12.622 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:130 | ServerSocket-UnityServer : accepting, port: 40577
14:24:13.405 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:130 | ServerSocket-UnityServer : accepted
14:24:13.405 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:130 | ServerSocket-UnityServer : connected
14:24:13.410 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:130 | RESUME :: state=AsyncProcessing
14:24:14.267 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:24:14.269 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:24:14.269 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:24:14.270 |I| Launcher                       | :1                             | Subscribing for events
14:24:14.271 |I| Launcher                       | :1                             | Start running backend
14:24:14.358 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:24:14.359 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:24:15.442 |V| Launcher                       | :1                             | Ready!
14:25:00.732 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:25:00.745 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:25:00.746 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:25:00.746 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:25:00.746 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:25:00.747 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:130 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:25:00.747 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:130 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1296
14:25:00.748 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:130 | ServerSocket-UnityServer: terminated.
14:25:00.748 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:25:02.309 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:25:02.319 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:25:02.327 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:25:02.328 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:25:02.329 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:25:02.329 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 39123
14:25:02.330 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:140 | ServerSocket-UnityServer : accepting, port: 39123
14:25:03.653 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:140 | ServerSocket-UnityServer : accepted
14:25:03.653 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:140 | ServerSocket-UnityServer : connected
14:25:03.657 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:140 | RESUME :: state=AsyncProcessing
14:25:04.008 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:25:04.009 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:25:04.010 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:25:04.010 |I| Launcher                       | :1                             | Subscribing for events
14:25:04.011 |I| Launcher                       | :1                             | Start running backend
14:25:04.477 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:25:04.478 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:25:04.877 |V| Launcher                       | :1                             | Ready!
14:25:27.898 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:25:27.911 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:25:27.912 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:25:27.912 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:25:27.912 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:25:27.912 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:140 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:25:27.913 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:140 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1082
14:25:27.914 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:140 | ServerSocket-UnityServer: terminated.
14:25:27.914 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:25:29.226 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:25:29.236 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:25:29.242 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:25:29.244 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:25:29.244 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:25:29.245 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 37213
14:25:29.246 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:147 | ServerSocket-UnityServer : accepting, port: 37213
14:25:29.773 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:147 | ServerSocket-UnityServer : accepted
14:25:29.773 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:147 | ServerSocket-UnityServer : connected
14:25:29.777 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:147 | RESUME :: state=AsyncProcessing
14:25:30.902 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:25:30.903 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:25:30.904 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:25:30.904 |I| Launcher                       | :1                             | Subscribing for events
14:25:30.905 |I| Launcher                       | :1                             | Start running backend
14:25:30.983 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:25:30.983 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:25:32.084 |V| Launcher                       | :1                             | Ready!
14:26:53.052 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:26:53.070 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:26:53.071 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:26:53.071 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:26:53.072 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:26:53.072 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:147 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:26:53.073 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:147 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1296
14:26:53.073 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:147 | ServerSocket-UnityServer: terminated.
14:26:53.074 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:26:54.602 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:26:54.612 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:26:54.620 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:26:54.621 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:26:54.621 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:26:54.622 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 43933
14:26:54.623 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:155 | ServerSocket-UnityServer : accepting, port: 43933
14:26:56.193 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:155 | ServerSocket-UnityServer : accepted
14:26:56.193 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:155 | ServerSocket-UnityServer : connected
14:26:56.197 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:155 | RESUME :: state=AsyncProcessing
14:26:56.257 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:26:56.259 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:26:56.259 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:26:56.259 |I| Launcher                       | :1                             | Subscribing for events
14:26:56.260 |I| Launcher                       | :1                             | Start running backend
14:26:56.402 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:26:56.402 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:26:57.073 |V| Launcher                       | :1                             | Ready!
14:27:21.966 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:27:21.982 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:27:21.983 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:27:21.983 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:27:21.983 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:27:21.984 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:155 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:27:21.985 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:155 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1296
14:27:21.985 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:155 | ServerSocket-UnityServer: terminated.
14:27:21.985 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:27:23.508 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:27:23.518 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:27:23.525 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:27:23.527 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:27:23.527 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:27:23.527 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 33403
14:27:23.528 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer : accepting, port: 33403
14:27:24.324 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer : accepted
14:27:24.324 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer : connected
